Title,Vote_Average,Vote_Count,Weighted_Average
the silencing,6.455,649.0,6.255411835030713
a nice girl like you,5.715,326.0,5.9484771188810335
ghosts of war,5.455,44.0,6.024668361912479
animal crackers,6.2,182.0,6.09154132676703
the kissing booth 2,7.657,4922.0,7.465906153505992
the rental,5.548,853.0,5.774154438874268
black is king,7.3,122.0,6.2527692050574615
the secret: dare to dream,7.286,580.0,6.6299785683244075
summerland,7.533,195.0,6.39367423168267
she dies tomorrow,5.179,156.0,5.895299286205218
an american pickle,5.671,447.0,5.905577627936894
the tax collector,5.654,451.0,5.897901168961204
waiting for the barbarians,5.935,359.0,6.01774364470895
project power,6.465,2772.0,6.3865697880318155
the spongebob movie: sponge on the run (canadian theatrical release),0.0,0.0,6.062079418515686
magic camp,6.857,196.0,6.241992159821605
spree,6.47,416.0,6.218336289507835
boys state,7.093,91.0,6.185356386866636
the one and only ivan,7.4,569.0,6.676507837292583
unhinged,6.45,2184.0,6.358932449336198
tesla,5.867,315.0,5.999693614624883
cut throat city,6.466,134.0,6.129399515429738
words on bathroom walls,7.821,571.0,6.87138131378365
hard kill,5.0,624.0,5.549917473265464
chemical hearts,7.355,1097.0,6.864758466556599
bill & ted face the music,5.91,893.0,5.975190793605572
the new mutants,6.109,3308.0,6.101097337960159
the personal history of david copperfield,6.5,447.0,6.237326061240385
i'm thinking of ending things,6.585,1866.0,6.44684669180028
phineas and ferb the movie: candace against the universe,7.272,359.0,6.484199427021875
all together now,6.744,197.0,6.217025617538073
rogue,5.6,666.0,5.831731444914303
centigrade,5.856,253.0,6.005591777254073
fatima,6.101,114.0,6.067738788782537
tenet,7.186,9535.0,7.112210015718325
"love, guaranteed",6.406,633.0,6.229156723258257
mulan,7.912,9383.0,7.788708764588233
critical thinking,6.575,40.0,6.090976352683817
the owners,5.629,365.0,5.9093509279280285
guest house,5.5,62.0,6.014471598914631
the babysitter: killer queen,6.338,1574.0,6.255617295189621
unpregnant,7.076,275.0,6.357135672386783
the devil all the time,7.208,3232.0,7.011237624399157
the broken hearts gallery,7.2,303.0,6.416437009666505
i met a girl,6.4,44.0,6.082903656030125
rent-a-pal,6.429,106.0,6.112200013409161
the secrets we keep,5.984,246.0,6.041110491709071
antebellum,6.26,880.0,6.174447232519683
the nest,5.2,76.0,5.974253633251354
blackbird,6.794,194.0,6.226422697228599
lost girls & love hotels,5.401,176.0,5.924549894096346
killian & the comeback kids,0.0,0.0,6.062079418515686
enola holmes,7.284,5875.0,7.1589141650734165
the trial of the chicago 7,7.706,2952.0,7.401906463391914
ava,6.4,235.0,6.149826751829293
kajillionaire,6.286,437.0,6.150474444810759
the last shift,5.6,82.0,6.011693098943497
secret society of second-born royals,6.699,525.0,6.341898084021347
she's in portland,5.8,8.0,6.058987035996327
sightless,6.797,375.0,6.325806899909579
the boys in the band,6.8,420.0,6.346415789362854
the glorias,6.4,52.0,6.086417188927298
on the rocks,6.116,640.0,6.0884222980194735
spontaneous,6.869,512.0,6.411608469040194
vampires vs. the bronx,5.698,280.0,5.954771800426852
possessor,6.37,821.0,6.231631931861509
death of me,4.99,245.0,5.775019902082524
the call,6.8,2826.0,6.658579293594253
american pie presents: girls' rules,6.154,595.0,6.105314790834394
the lie,6.336,694.0,6.201449567745975
black box,6.422,518.0,6.219014486873324
hubie halloween,5.931,1555.0,5.970471105800229
books of blood,6.332,407.0,6.164082832317094
charm city kings,7.861,451.0,6.785819991441133
the war with grandpa,6.426,916.0,6.272263058263247
a rainy day in new york,6.506,2183.0,6.401749460359449
yellow rose,6.868,19.0,6.084303643549361
the 40-year-old version,6.4,6522.0,6.368519634372291
nocturne,5.906,427.0,6.001326536376945
evil eye,5.41,161.0,5.935743935506028
a babysitter's guide to monster hunting,6.194,288.0,6.101738215454603
love and monsters,7.312,3921.0,7.129589459901005
honest thief,6.501,1669.0,6.375272428561569
clouds,8.3,986.0,7.394561117394632
the devil has a name,5.365,52.0,6.01187425263921
the kid detective,6.586,385.0,6.253273185218492
alone,6.3,681.0,6.18200829785752
2 hearts,7.382,563.0,6.664768216062862
the opening act,5.3,22.0,6.037851460123568
tremors: shrieker island,6.113,194.0,6.073512975006377
the witches,6.928,1206.0,6.618742649469888
over the moon,7.213,1264.0,6.814283976424773
borat subsequent moviefilm,6.464,2451.0,6.377717786095966
after we collided,7.188,5216.0,7.0598371067627435
the empty man,6.157,759.0,6.112495598604276
synchronic,6.34,887.0,6.2204066861949325
bad hair,5.903,72.0,6.046643140708234
friendsgiving,4.549,72.0,5.915257695964298
the craft: legacy,6.1,767.0,6.082319561868831
holidate,7.033,2110.0,6.799001154822126
come play,6.4,647.0,6.22808899803
his house,6.433,1044.0,6.288007707354439
