Title,Cast and crew,Genre,Vote_Average,Vote_Count,Combined_Features
jhalki,boman irani tannishtha chatterjee divya dutta sanjay suri akhilendra mishra govind namdeo yatin karyekar joy sengupta sailesh dubey bachan pachehra sanchita goswami goraksha sakpal vikram singh aarti jha,drama,7.2,4.0,boman irani tannishtha chatterjee divya dutta sanjay suri akhilendra mishra govind namdeo yatin karyekar joy sengupta sailesh dubey bachan pachehra sanchita goswami goraksha sakpal vikram singh aarti jha drama
marjaavaan,riteish deshmukh sidharth malhotra tara sutaria rakul preet singh,romance action,7.4,30.0,riteish deshmukh sidharth malhotra tara sutaria rakul preet singh romance action
motichoor chaknachoor,nawazuddin siddiqui athiya shetty vibha chhibber sanjeev vatsa bhumika dube devansh kumar,romance drama,6.1,19.0,nawazuddin siddiqui athiya shetty vibha chhibber sanjeev vatsa bhumika dube devansh kumar romance drama
keep safe distance,shahbaaz khan adi irani vikas anand kiran kumar anil nagrath sagarika neha laxman singh rajput pradeep kabra shilpa gandhi jai yadav abhishek khanna vishnu dhanraj sharma,action drama,0.0,0.0,shahbaaz khan adi irani vikas anand kiran kumar anil nagrath sagarika neha laxman singh rajput pradeep kabra shilpa gandhi jai yadav abhishek khanna vishnu dhanraj sharma action drama
pagalpanti,kriti kharbanda john abraham ileana d cruz anil kapoor urvashi rautela jamie lee beacher atul sharma saurabh shukla arshad warsi sammy john heaney vaunisha kapoor pulkit samrat simran kaur manoj anand,comedy drama,0.0,0.0,kriti kharbanda john abraham ileana d cruz anil kapoor urvashi rautela jamie lee beacher atul sharma saurabh shukla arshad warsi sammy john heaney vaunisha kapoor pulkit samrat simran kaur manoj anand comedy drama
ramprasad ki tehrvi,naseeruddin shah vikrant massey konkona sen sharma vinay pathak manoj pahwa parambrata chattopadhyay supriya pathak deepika amin vineet kumar sarika singh,drama family comedy,6.0,15.0,naseeruddin shah vikrant massey konkona sen sharma vinay pathak manoj pahwa parambrata chattopadhyay supriya pathak deepika amin vineet kumar sarika singh drama family comedy
yeh saali aashiqui,vardhan puri jessey lever,thriller romance,8.786,7.0,vardhan puri jessey lever thriller romance
dil bechara,sushant singh rajput sanjana sanghi sahil vaid,drama romance,6.713,94.0,sushant singh rajput sanjana sanghi sahil vaid drama romance
pati patni aur woh,kartik aaryan bhumi pednekar ananya panday aparshakti khurana,comedy romance,6.271,35.0,kartik aaryan bhumi pednekar ananya panday aparshakti khurana comedy romance
commando 3,vidyut jammwal adah sharma angira dhar sumeet thakur mark bennington simran kaur atharva vishwakarma abhilash chaudhary feryna wazheir,action thriller,6.942,26.0,vidyut jammwal adah sharma angira dhar sumeet thakur mark bennington simran kaur atharva vishwakarma abhilash chaudhary feryna wazheir action thriller
mardaani 2,rani mukerji rajesh sharma shruti bapna,action crime thriller,7.108,65.0,rani mukerji rajesh sharma shruti bapna action crime thriller
dabangg 3,salman khan sonakshi sinha sudeep mahesh manjrekar ashwami manjrekar nawab shah arbaaz khan abhilash chaudhary saiee manjrekar pramod khanna rajiv kachroo resh lamba manjit singh,action comedy crime,5.367,50.0,salman khan sonakshi sinha sudeep mahesh manjrekar ashwami manjrekar nawab shah arbaaz khan abhilash chaudhary saiee manjrekar pramod khanna rajiv kachroo resh lamba manjit singh action comedy crime
good newwz,akshay kumar kareena kapoor kiara advani tisca chopra gulshan grover diljit dosanjh tanmay dhanania anjana sukhani yukta mookhey auritra ghosh preeti kochar,romance comedy family drama,6.663,80.0,akshay kumar kareena kapoor kiara advani tisca chopra gulshan grover diljit dosanjh tanmay dhanania anjana sukhani yukta mookhey auritra ghosh preeti kochar romance comedy family drama
kaalakaandi,saif ali khan,comedy thriller drama,6.463,27.0,saif ali khan comedy thriller drama
vodka diaries,kay kay menon raima sen mandira bedi sharib hashmi rishi bhutani herry tangiri vaishnavi dhanraj swati rajput antara srivastava rahul kapoor suraj thapar vikram sakhalkar,mystery thriller,6.2,12.0,kay kay menon raima sen mandira bedi sharib hashmi rishi bhutani herry tangiri vaishnavi dhanraj swati rajput antara srivastava rahul kapoor suraj thapar vikram sakhalkar mystery thriller
my birthday song,nora fatehi elena kazan suparna krishna pitobash sameer sharma zenia starr,thriller,5.5,2.0,nora fatehi elena kazan suparna krishna pitobash sameer sharma zenia starr thriller
nirdosh,ashmit patel manjari fadnnis manisha kelkar akash sinha geetanjali mishra astad kale rajkumar kanojia shilpa kadam feroz bhagat dinesh lamba salman shaikh yusuf hussain premnath gulati himanshu manek,mystery thriller,5.5,2.0,ashmit patel manjari fadnnis manisha kelkar akash sinha geetanjali mishra astad kale rajkumar kanojia shilpa kadam feroz bhagat dinesh lamba salman shaikh yusuf hussain premnath gulati himanshu manek mystery thriller
mukkabaaz,viineet kumar jimmy sheirgill zoya hussain ravi kishan rajesh tailang shreedhar dubey sadhana singh shakti kumar chittaranjan tripathy sukhesh mishra shikha chauhan abhay joshi nawazuddin siddiqui,drama,7.6,37.0,viineet kumar jimmy sheirgill zoya hussain ravi kishan rajesh tailang shreedhar dubey sadhana singh shakti kumar chittaranjan tripathy sukhesh mishra shikha chauhan abhay joshi nawazuddin siddiqui drama
union leader,rahul bhat tillotama shome,drama,7.1,7.0,rahul bhat tillotama shome drama
love per square foot,vicky kaushal angira dhar alankrita sahai raghuvir yadav ratna pathak shah supriya pathak brijendra kala rekha bhardwaj kunaal roy kapur arunoday singh deepal doshi raviza chauhan ranbir kapoor asif ali beg,comedy romance,6.7,109.0,vicky kaushal angira dhar alankrita sahai raghuvir yadav ratna pathak shah supriya pathak brijendra kala rekha bhardwaj kunaal roy kapur arunoday singh deepal doshi raviza chauhan ranbir kapoor asif ali beg comedy romance
aiyaary,sidharth malhotra manoj bajpayee rakul preet singh pooja chopra adil hussain kumud mishra naseeruddin shah anupam kher vikram gokhale juhi babbar nivedita bhattacharya rajesh tailang lushin dubey ajit bhure,action thriller,5.781,48.0,sidharth malhotra manoj bajpayee rakul preet singh pooja chopra adil hussain kumud mishra naseeruddin shah anupam kher vikram gokhale juhi babbar nivedita bhattacharya rajesh tailang lushin dubey ajit bhure action thriller
padmaavat,deepika padukone ranveer singh shahid kapoor aditi rao hydari jim sarbh anupriya goenka raza murad ujjwal chopra komal chhabria lankesh bhardwaj bhawani muzamil hriiday malhotra deepak shreemali manish wadhwa,drama history romance,6.917,260.0,deepika padukone ranveer singh shahid kapoor aditi rao hydari jim sarbh anupriya goenka raza murad ujjwal chopra komal chhabria lankesh bhardwaj bhawani muzamil hriiday malhotra deepak shreemali manish wadhwa drama history romance
kuchh bheege alfaaz,geetanjali thapa zain khan durrani shray rai tiwari mona ambegaonkar saheb bhattacharjee chandrayee ghosh saurav das debopriya sahil agarwal shefali chauhan soumya mukherjee shankhu karmakar udai shankar moumita,romance drama,7.4,8.0,geetanjali thapa zain khan durrani shray rai tiwari mona ambegaonkar saheb bhattacharjee chandrayee ghosh saurav das debopriya sahil agarwal shefali chauhan soumya mukherjee shankhu karmakar udai shankar moumita romance drama
jaane kyun de yaaron,akshay anand kabir bedi hitesh bhardwaj abhay bhargav ravi raj kande viju khote usha nadkarni chetna pande daya shankar pandey raghu raja abhishek sharma vikram singh yashwant singh,drama,0.0,0.0,akshay anand kabir bedi hitesh bhardwaj abhay bhargav ravi raj kande viju khote usha nadkarni chetna pande daya shankar pandey raghu raja abhishek sharma vikram singh yashwant singh drama
