genre,movie_name,cast,director,TMDB_Genre,Vote_Average,Vote_Count
"Action, Crime, Drama",Satyameva Jayate 2,"John Abraham, Divya Khosla Kumar, Harsh Chhaya, Gautami Kapoor",Milap Zaveri,"Action, Crime, Drama, Thriller",5.475,20.0
"Action, Adventure, Drama",Laal Kaptaan,"Saif Ali Khan, Zoya Hussain, Manav Vij, Deepak Dobriyal",Navdeep Singh,"Drama, Action",7.0,21.0
"Biography, Drama",Manto,"Nawazuddin Siddiqui, Rasika Dugal, Tahir Raj Bhasin, Nazma Ali Shaikh",Nandita Das,"Drama, History",7.4,44.0
"Action, Crime, Drama",Khakee,"Amitabh Bachchan, Akshay Kumar, Ajay Devgn, Aishwarya Rai Bachchan",Rajkumar Santoshi,Action,6.331,71.0
"Drama, Romance, Thriller",Yeh Saali Aashiqui,"Vardhan Puri, Shivaleeka Oberoi, Ruslaan Mumtaz, Satish Kaushik",Cherag Ruparel,"Thriller, Romance",8.786,7.0
"Action, Drama, Romance",Lakshya,"Hrithik Roshan, Preity G Zinta, Amitabh Bachchan, Om Puri",Farhan Akhtar,"War, Action, Drama, Romance",6.589,96.0
"Comedy, Drama",Badhaai ho,"Ayushmann Khurrana, Neena Gupta, Gajraj Rao, Sanya Malhotra",Amit Ravindernath Sharma,"Comedy, Romance, Drama",7.204,135.0
Drama,Trishna,"Freida Pinto, Riz Ahmed, Mita Vashisht, Harish Khanna",Michael Winterbottom,"Drama, Romance",5.9,48.0
"Drama, Thriller",Guilty,"Kiara Advani, Taher Shabbir, Akansha Ranjan Kapoor, Gurfateh Pirzada",Ruchi Narain,"Thriller, Drama",6.652,56.0
"Comedy, Fantasy",Thank God,"Sidharth Malhotra, Ajay Devgn, Rakul Preet Singh, Mahesh Balraj",Indra Kumar,Comedy,6.393,28.0
"Action, Crime, Drama",Ghayal,"Sunny Deol, Amrish Puri, Meenakshi Sheshadri, Moushumi Chatterjee",Rajkumar Santoshi,"Action, Crime, Drama",6.882,17.0
"Action, Romance, Thriller",Baaghi,"Tiger Shroff, Shraddha Kapoor, Sudheer Babu Posani, Shifuji Shaurya Bharadwaj",Sabir Khan,"Action, Thriller, Romance, Adventure",6.4,123.0
"Action, Crime, Drama",Bombay Velvet,"Ranbir Kapoor, Anushka Sharma, Karan Johar, Satyadeep Misra",Anurag Kashyap,"Crime, Thriller",5.5,40.0
"Action, Crime, Drama",Once Upon a Time in Mumbai Dobaara!,"Akshay Kumar, Imran Khan, Sonakshi Sinha, Sonali Bendre",Milan Luthria,"Action, Crime, Drama",5.183,41.0
"Drama, Romance",Shaadi Mein Zaroor Aana,"Rajkummar Rao, Kriti Kharbanda, K.K. Raina, Alka Amin",Ratnaa Sinha,"Romance, Family",6.943,70.0
"Comedy, Drama, Romance",Lage Raho Munna Bhai,"Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani",Rajkumar Hirani,"Comedy, Drama, Romance",7.241,195.0
"Comedy, Romance",Luka Chuppi,"Kartik Aaryan, Kriti Sanon, Aparshakti Khurana, Pankaj Tripathi",Laxman Utekar,"Comedy, Romance",6.028,72.0
"Crime, Drama",Shor in the City,"Tusshar Kapoor, Sendhil Ramamurthy, Nikhil Dwivedi, Preeti Desai","Krishna D.K., Raj Nidimoru","Crime, Drama",6.146,23.0
"Action, Biography, Drama",Tanhaji: The Unsung Warrior,"Ajay Devgn, Saif Ali Khan, Sharad Kelkar, Kajol",Om Raut,"Action, Drama, History",6.412,68.0
"Comedy, Family",Neymar,"Naslen, Mathew Thomas, Thushara Pillai, Vijayaraghavan",Sudhi Maddison,"Comedy, Family",5.5,4.0
"Action, Comedy, Crime",AK vs AK,"Anil Kapoor, Anurag Kashyap, Sonam Kapoor, Harshvardhan Kapoor",Vikramaditya Motwane,"Comedy, Action, Drama, Crime",6.9,47.0
"Biography, Drama",Sarbjit,"Randeep Hooda, Aishwarya Rai Bachchan, Richa Chadha, Darshan Kumaar",Omung Kumar,Drama,7.661,31.0
Thriller,Connect,"Nayanthara, Sathyaraj, Anupam Kher, Vinay Rai",Ashwin Saravanan,"Drama, Romance",5.5,2.0
"Crime, Drama, Horror",Welcome Home,"Kashmira Irani, Swarda Thigale, Shashi Bhushan, Boloram Das",Pushkar Mahabal,"Thriller, Horror",5.3,320.0
"Comedy, Drama",Padman,"Akshay Kumar, Radhika Apte, Sonam Kapoor, Jyoti Subhash",R. Balki,"Family, Comedy",6.5,3.0
"Action, Crime, Drama",Laththi,"Vishal, Sunaina, Prabhu, Thalaivasal Vijay",A. Vinoth Kumar,"Action, Drama",7.2,3.0
"Crime, Drama, Thriller",Raman Raghav 2.0,"Nawazuddin Siddiqui, Vicky Kaushal, Sobhita Dhulipala, Mukesh Chhabra",Anurag Kashyap,"Thriller, Crime",7.1,114.0
Drama,Dhobi Ghat,"Prateik Patil Babbar, Monica Dogra, Kriti Malhotra, Aamir Khan",Kiran Rao,Drama,6.532,79.0
"Crime, Drama",Ardh Satya,"Om Puri, Smita Patil, Amrish Puri, Shafi Inamdar",Govind Nihalani,"Drama, Crime",6.893,14.0
"Drama, Sport",Jersey,"Nani, Shraddha Srinath, Sathyaraj, Ronit Kamra",Gowtam Tinnanuri,Comedy,0.0,0.0
Comedy,Bala,"Ayushmann Khurrana, Bhumi Pednekar, Yami Gautam, Saurabh Shukla",Amar Kaushik,Thriller,10.0,1.0
Drama,Guru,"Mithun Chakraborty, Abhishek Bachchan, Aishwarya Rai Bachchan, Madhavan",Mani Ratnam,"Action, Drama, Crime",1.0,1.0
"Drama, Thriller",Stolen,"Abhishek Banerjee, Harish Khanna, Mia Maelzer, Sahidur Rahaman",Karan Tejpal,"Action, Crime, Thriller",5.416,988.0
"Action, Comedy, Drama",Deewane Huye Paagal,"Shahid Kapoor, Akshay Kumar, Suniel Shetty, Rimi Sen",Vikram Bhatt,"Comedy, Drama, Romance",4.782,39.0
Drama,Nail Polish,"Arjun Rampal, Manav Kaul, Anand Tiwari, Rajit Kapoor",Bugs Bhargava Krishna,"Crime, Thriller, Drama",6.5,13.0
"Comedy, Drama, Fantasy",Jaadugar,"Jitendra Kumar, Arushi Sharma, Jaaved Jaaferi, Raksha Panwar",Sameer Saxena,"Comedy, Drama, Romance",6.396,24.0
"Drama, Romance, Thriller",Jism 2,"Randeep Hooda, Arunoday Singh, Arif Zakaria, Sunny Leone",Pooja Bhatt,Thriller,4.4,22.0
 ,Three of Us,"Shefali Shah, Jaideep Ahlawat, Swanand Kirkire, Kadambari Kadam",Avinash Arun,"Drama, Comedy",7.517,479.0
"Comedy, Drama, Family",Bhootnath,"Amitabh Bachchan, Juhi Chawla, Satish Shah, Rajpal Naurang Yadav",Vivek Sharma,Comedy,0.0,0.0
"Drama, Romance",Ascharyachakit!,"Priyanka Bose, Vaibhav Raj Gupta, Ankit Raj, Anangsha Biswas",Samit Kakkad,"Thriller, Drama",4.8,10.0
"Comedy, Drama, Family",Chillar Party,"Irfan Khan, Abhinay Raj Singh, Sanath Menon, Rohan Grover","Vikas Bahl, Nitesh Tiwari","Drama, Comedy, Family",6.913,52.0
"Biography, Drama, Sport",Chakda Xpress,"Anushka Sharma, Anshul Chauhan, Dibyendu Bhattacharya, Nishu Dikshit",Prosit Roy,Drama,0.0,0.0
