movieId,title,genres
316654,Bombay Velvet,"Crime, Thriller"
208540,Once Upon a Time in Mumbai Dobaara!,"Action, Crime, Drama"
480810,Shaadi Mein Zaroor Aana,"Romance, Family"
21461,Lage Raho Munna Bhai,"Comedy, Drama, Romance"
585062,Luka Chuppi,"Comedy, Romance"
61203,Shor in the City,"Crime, Drama"
584850,Tanhaji: The Unsung Warrior,"Action, Drama, History"
937053,Neymar,"Comedy, Family"
735919,AK vs AK,"Comedy, Action, Drama, Crime"
393421,Sarbjit,Drama
373320,Padman,"Family, Comedy"
583398,Connect,"Drama, Romance"
915501,Laththi,"Action, Drama"
393562,Raman Raghav 2.0,"Thriller, Crime"
525460,Welcome Home,"Thriller, Horror"
1089624,Jersey,Comedy
54890,Dhobi Ghat,Drama
103073,Ardh Satya,"Drama, Crime"
1297958,Bala,Thriller
975251,Guru,"Action, Drama, Crime"
127493,Stolen,"Action, Crime, Thriller"
97341,Deewane Huye Paagal,"Comedy, Drama, Romance"
774098,Nail Polish,"Crime, Thriller, Drama"
124093,Jism 2,Thriller
821119,Jaadugar,"Comedy, Drama, Romance"
364137,Three of Us,"Drama, Comedy"
998549,Bhootnath,Comedy
569578,Ascharyachakit!,"Thriller, Drama"
69891,Chillar Party,"Drama, Comedy, Family"
916628,Chakda Xpress,Drama
40777,I Hate Luv Storys,"Comedy, Drama, Romance"
275269,Wazir,"Thriller, Action, Crime"
12273,Singh Is Kinng,"Action, Comedy"
16274,Holiday,"Comedy, Romance, Drama"
768466,Janhit Mein Jaari,"Comedy, Drama, Romance"
799155,Attack,"Action, Science Fiction, Thriller"
230454,Khiladiyon Ka Khiladi,"Action, Crime, Thriller"
566402,Vinaya Vidheya Rama,"Action, Drama"
501192,Hate Story IV,"Thriller, Crime, Drama"
376873,Rocky Handsome,"Action, Thriller"
20413,Dhamaal,"Comedy, Action, Adventure"
363413,Pyaar Ka Punchnama 2,"Romance, Comedy, Drama"
134446,Chachi 420,"Comedy, Drama, Family"
4252,Chalte Chalte,"Comedy, Drama, Romance"
381418,Sanam Teri Kasam,"Drama, Romance"
11763,Bunty Aur Babli,"Comedy, Crime, Romance"
85050,Agent Vinod,"Action, Adventure, Thriller, Romance"
375290,Airlift,"Drama, History, Action"
456565,Judwaa 2,"Action, Comedy, Romance"
64109,Paanch,"Crime, Thriller"
102632,Rowdy Rathore,"Action, Comedy, Crime"
790019,Sanak,"Action, Thriller"
1171133,Visfot,
785522,Skater Girl,"Drama, Family"
41252,Raincoat,"Drama, Romance"
31930,Murder,"Mystery, Crime, Thriller"
26277,Mujhse Dosti Karoge!,"Romance, Comedy, Drama"
399459,Veerappan,"Action, Crime"
390329,Madly,Drama
1156337,One Friday Night,"Mystery, Crime, Thriller"
719949,Khuda Haafiz,"Action, Thriller"
402672,Mohenjo Daro,"Adventure, Drama, History, Romance"
618911,Atrangi Re,"Comedy, Drama, Romance"
84858,Agneepath,"Action, Crime, Drama"
54081,Aakrosh,"Action, Drama, Crime"
79982,Yes Boss,"Comedy, Drama, Romance"
44566,Anjaana Anjaani,"Comedy, Drama, Romance"
590404,Chhapaak,Drama
53569,No One Killed Jessica,"Crime, Drama"
432140,Gurgaon,"Crime, Thriller"
955916,Lift,"Action, Comedy, Crime"
1254724,D-Day,"Music, Documentary"
984500,UI,Thriller
41903,Mr. India,"Action, Science Fiction, Drama"
28308,The Body,"Drama, Mystery, Romance, Thriller"
470641,Mukkabaaz,Drama
53767,Kaagaz Ke Phool,"Drama, Romance"
714220,Shahenshah,
479491,Gali Guleiyan,"Thriller, Drama"
20359,Phir Hera Pheri,Comedy
1014060,Zwigato,Drama
456570,Hindi Medium,"Comedy, Drama"
19951,1920,Horror
19663,Love Aaj Kal,"Comedy, Drama, Romance"
674779,Bheeshma,"Romance, Action, Comedy"
601801,Chopsticks,"Comedy, Drama"
786190,Pagglait,"Drama, Comedy"
598938,Heroine,"Thriller, Action"
38407,Shanghai,"Drama, Thriller, Mystery, Crime"
441071,Naam Shabana,Thriller
283827,Singh Is Bliing,"Action, Comedy"
34299,Beautiful,"Comedy, Drama"
