Title,Vote_Average,Vote_Count,Weighted_Average
baby,6.722,163.0,6.436649953015918
code name: tiranga,4.4,7.0,5.086236456804429
mujhse shaadi karogi,6.495,105.0,6.154235248644751
ajnabee,5.561,41.0,5.393438488053156
bachna ae haseeno,6.063,79.0,5.7868174406512765
chef,7.115,3179.0,7.092528952613056
dev.d,6.9,124.0,6.50420148491481
spy,6.835,5884.0,6.824589773819013
mission kashmir,6.283,46.0,5.798793339954754
pyaasa,3.0,1.0,5.155913860415367
jee le zaraa,0.0,0.0,5.212648435689456
jayeshbhai jordaar,5.8,18.0,5.401440009932131
pichaikkaran 2,4.333,9.0,5.044205118217007
hazaaron khwaishein aisi,7.2,14.0,5.747704626080756
the lovers,4.8,65.0,4.9522392287009644
the big bull,5.0,10.0,5.168346678254152
heropanti 2,4.263,20.0,4.885183457865506
te3n,6.963,95.0,6.462899553054131
hungama 2,5.077,13.0,5.178071383454888
indian 2,0.0,0.0,5.212648435689456
boom,5.3,18.0,5.240725724217845
karan arjun,6.745,102.0,6.329076003972853
shaandaar,4.4,57.0,4.725059374275782
samrat prithviraj,7.028,18.0,5.796154295646416
bharat,6.322,59.0,5.887408665527827
laxmii,4.628,39.0,4.91652779943116
aazam,3.0,1.0,5.155913860415367
serious men,6.688,32.0,5.887094865088561
ishq,6.424,59.0,5.94944990264123
jgm (janaganamana),0.0,0.0,5.212648435689456
josh,0.0,0.0,5.212648435689456
footfairy,3.6,4.0,5.059062870385698
c.i.d.,7.9,27.0,6.328932931633835
zinda,3.786,21.0,4.704858314511853
non stop dhamaal,0.0,0.0,5.212648435689456
ishq-e-nadaan,6.0,5.0,5.304200943167426
fitoor,5.745,47.0,5.507007535955286
andaz apna apna,6.751,209.0,6.5143305285676085
jawaani jaaneman,5.9,31.0,5.521458558785497
batla house,6.79,51.0,6.116524051193251
gabbar is back,6.991,111.0,6.537460674873821
partner,5.52,99.0,5.43474920114014
awara paagal deewana,5.524,42.0,5.376108006952491
a flying jatt,3.028,36.0,4.149846494002693
rangeela,0.0,0.0,5.212648435689456
