Title,Cast and crew,Genre,Vote_Average,Vote_Count,Combined_Features
saathiya,"vivek oberoi, rani mukerji, shah rukh khan, tabu","romance, drama",6.021,47.0,"vivek oberoi, rani mukerji, shah rukh khan, tabu romance, drama"
ankahi kahaniya,"abhishek banerjee, t.j. bhanu, nikhil dwivedi, palomi ghosh","drama, romance",6.5,12.0,"abhishek banerjee, t.j. bhanu, nikhil dwivedi, palomi ghosh drama, romance"
pudhu pettai,"dhanush, sneha, sonia agarwal, azhagam perumal","action, drama, crime",7.6,28.0,"dhanush, sneha, sonia agarwal, azhagam perumal action, drama, crime"
tejas,"kangana ranaut, anshul chauhan, varun mitra, veenah naair",drama,4.313,8.0,"kangana ranaut, anshul chauhan, varun mitra, veenah naair drama"
shubh mangal saavdhan,"ayushmann khurrana, bhumi pednekar, seema pahwa, anshul chauhan","comedy, romance",5.92,50.0,"ayushmann khurrana, bhumi pednekar, seema pahwa, anshul chauhan comedy, romance"
phantom,"saif ali khan, katrina kaif, sabyasachi chakrabarty, rajesh tailang",thriller,5.84,307.0,"saif ali khan, katrina kaif, sabyasachi chakrabarty, rajesh tailang thriller"
coolie no. 1,"varun dhawan, sara ali khan, paresh rawal, jaaved jaaferi","comedy, drama",5.421,57.0,"varun dhawan, sara ali khan, paresh rawal, jaaved jaaferi comedy, drama"
aisha,"sonam kapoor, abhay deol, karamjeet madonna, amrita puri",drama,7.1,15.0,"sonam kapoor, abhay deol, karamjeet madonna, amrita puri drama"
gumnaam,"nanda karnataki, manoj kumar, pran sikand, helen","mystery, thriller, horror",6.147,17.0,"nanda karnataki, manoj kumar, pran sikand, helen mystery, thriller, horror"
fire in the mountains,"vinamrata rai, chandan bisht, harshita tiwari, mayank singh jaira",drama,8.0,2.0,"vinamrata rai, chandan bisht, harshita tiwari, mayank singh jaira drama"
yaar gaddar,"saif ali khan, sweta, somy ali, deven bhojani","crime, action",5.2,4.0,"saif ali khan, sweta, somy ali, deven bhojani crime, action"
barsaat,"bobby deol, twinkle khanna, raj babbar, mukesh khanna","romance, action",5.147,17.0,"bobby deol, twinkle khanna, raj babbar, mukesh khanna romance, action"
heyy babyy,"akshay kumar, fardeen khan, riteish deshmukh, vidya balan","comedy, drama, romance",5.905,95.0,"akshay kumar, fardeen khan, riteish deshmukh, vidya balan comedy, drama, romance"
dhol,"sharman joshi, tusshar kapoor, kunal kemmu, rajpal naurang yadav",comedy,6.2,40.0,"sharman joshi, tusshar kapoor, kunal kemmu, rajpal naurang yadav comedy"
bahut hua sammaan,"sanjay mishra, ram kapoor, raghav juyal, dibyendu bhattacharya","comedy, crime, drama",6.6,8.0,"sanjay mishra, ram kapoor, raghav juyal, dibyendu bhattacharya comedy, crime, drama"
lajja,"manisha koirala, jackie shroff, madhuri dixit, ajay devgn",drama,7.0,1.0,"manisha koirala, jackie shroff, madhuri dixit, ajay devgn drama"
krishna cottage,"sohail khan, isha koppikar, anita hassanandani reddy, rati agnihotri","thriller, horror, mystery",5.077,14.0,"sohail khan, isha koppikar, anita hassanandani reddy, rati agnihotri thriller, horror, mystery"
jung,"mithun chakraborty, ajay devgn, rambha, vani viswanath","drama, action, crime",7.0,2.0,"mithun chakraborty, ajay devgn, rambha, vani viswanath drama, action, crime"
nela ticket,"ravi teja, malvika sharma, jagapathi babu, sampath raj","action, drama",4.6,10.0,"ravi teja, malvika sharma, jagapathi babu, sampath raj action, drama"
pyasi nigahen,"birbal, sahila chaddha, ajinkya deo, annu kapoor","horror, thriller",10.0,1.0,"birbal, sahila chaddha, ajinkya deo, annu kapoor horror, thriller"
veere di wedding,"kareena kapoor, sonam kapoor, swara bhasker, shikha talsania","drama, comedy",4.938,32.0,"kareena kapoor, sonam kapoor, swara bhasker, shikha talsania drama, comedy"
fire,"shabana azmi, nandita das, karishma jhalani, ramanjeet kaur","drama, romance",6.6,61.0,"shabana azmi, nandita das, karishma jhalani, ramanjeet kaur drama, romance"
nh10,"anushka sharma, neil bhoopalam, darshan kumaar, deepti naval","crime, action, adventure, thriller",6.8,75.0,"anushka sharma, neil bhoopalam, darshan kumaar, deepti naval crime, action, adventure, thriller"
gunjan saxena: the kargil girl,"janhvi kapoor, pankaj tripathi, angad bedi, manav vij","action, drama",7.4,74.0,"janhvi kapoor, pankaj tripathi, angad bedi, manav vij action, drama"
silence... can you hear it?,"sahil vaid, saurrabh kushwaha, pankaj anand, manoj bajpayee","thriller, drama",5.8,13.0,"sahil vaid, saurrabh kushwaha, pankaj anand, manoj bajpayee thriller, drama"
badass ravikumar,"prabhu deva, himesh reshammiya, sonia kapoor","action, music",0.0,0.0,"prabhu deva, himesh reshammiya, sonia kapoor action, music"
baap,"lankesh bhardwaj, sanjay dutt, sunny deol, jackie shroff",,0.0,0.0,"lankesh bhardwaj, sanjay dutt, sunny deol, jackie shroff "
khoj,"vikram chatterjee, shataf figar, poonam gurung, arnab bhattacharya",,5.667,3.0,"vikram chatterjee, shataf figar, poonam gurung, arnab bhattacharya "
jhoom barabar jhoom,"abhishek bachchan, preity g zinta, bobby deol, lara dutta","drama, romance",3.8,31.0,"abhishek bachchan, preity g zinta, bobby deol, lara dutta drama, romance"
humshakals,"saif ali khan, riteish deshmukh, ram kapoor, bipasha basu",comedy,3.267,45.0,"saif ali khan, riteish deshmukh, ram kapoor, bipasha basu comedy"
prahaar: the final attack,"nana patekar, dimple kapadia, gautam joglekar, madhuri dixit",,6.9,9.0,"nana patekar, dimple kapadia, gautam joglekar, madhuri dixit "
maine dil tujhko diya,"sohail khan, sameera reddy, sanjay dutt, kabir bedi","action, drama, romance",5.5,10.0,"sohail khan, sameera reddy, sanjay dutt, kabir bedi action, drama, romance"
